cropname,statename,cropyear,seasonname,Area,Production,Yield
Rice,All India,2005-06,Total,436.6,917.93,2102.0
Rice,All India,2006-07,Total,438.14,933.55,2131.0
Rice,All India,2007-08,Total,439.14,966.93,2202.0
Rice,All India,2008-09,Total,455.37,991.83,2178.0
Rice,All India,2009-10,Total,419.18,890.83,2125.0
Rice,All India,2010-11,Total,428.62,959.7,2239.0
Rice,All India,2011-12,Total,440.06,1053.01,2393.0
Rice,All India,2012-13,Total,427.54,1052.32,2461.0
Rice,All India,2013-14,Total,441.36,1066.46,2416.0
Rice,All India,2014-15,Total,441.11,1054.82,2391.0
Rice,All India,2015-16,Total,434.99,1044.08,2400.0
Rice,All India,2016-17,Total,439.93,1096.98,2494.0
Rice,All India,2017-18,Total,437.74,1127.58,2576.0
Rice,All India,2018-19,Total,441.56,1164.78,2638.0
Rice,All India,2019-20,Total,436.62,1188.7,2722.0
Rice,All India,2020-21,Total,457.69,1243.68,2717.0
Rice,All India,2021-22,Total,462.79,1294.71,2798.0
Rice,All India,2022-23,Total,478.32,1357.55,2838.0
Rice,All India,2023-24,Total,478.28,1378.25,2882.0
Rice,All India,2024-25,Total,514.23,1490.74,2899.0
