Year,Area,Yield,Season
1970-71,627,541,Autumn
1970-71,4336,902,Kharif
1970-71,3709,964,Winter
1971-72,847,562,Autumn
1971-72,4484,753,Kharif
1971-72,3637,797,Winter
1972-73,770,501,Autumn
1972-73,4294,870,Kharif
1972-73,3524,950,Winter
1973-74,845,582,Autumn
1973-74,4570,917,Kharif
1973-74,3725,993,Winter
1974-75,697,356,Autumn
1974-75,4276,694,Kharif
1974-75,3579,760,Winter
1975-76,758,580,Autumn
1975-76,4504,949,Kharif
1975-76,3746,1023,Winter
1976-77,778,438,Autumn
1976-77,4207,703,Kharif
1976-77,3429,763,Winter
1977-78,839,710,Autumn
1977-78,4216,961,Kharif
1977-78,3377,1023,Winter
1978-79,914,689,Autumn
1978-79,4207,996,Kharif
1978-79,3293,1081,Winter
1979-80,879,309,Autumn
1979-80,3974,688,Kharif
1979-80,3095,795,Winter
1980-81,865,600,Autumn
1980-81,4019,1003,Kharif
1980-81,3154,1114,Winter
1981-82,928,668,Autumn
1981-82,4022,911,Kharif
1981-82,3094,984,Winter
1982-83,834,488,Autumn
1982-83,3842,705,Kharif
1982-83,3008,765,Winter
1983-84,943,751,Autumn
1983-84,4148,1148,Kharif
1983-84,3205,1265,Winter
1984-85,973,668,Autumn
1984-85,4130,932,Kharif
1984-85,3157,1014,Winter
1985-86,1014,840,Autumn
1985-86,4196,1163,Kharif
1985-86,3182,1266,Winter
1986-87,1010,619,Autumn
1986-87,4203,1060,Kharif
1986-87,3193,1200,Winter
1987-88,887,458,Autumn
1987-88,3855,805,Kharif
1987-88,2968,909,Winter
1988-89,899,702,Autumn
1988-89,4088,1198,Kharif
1988-89,3189,1337,Winter
1989-90,907,853,Autumn
1989-90,4187,1395,Kharif
1989-90,3280,1545,Winter
1990-91,937,939,Autumn
1990-91,4189,1156,Kharif
1990-91,3252,1218,Winter
1991-92,885,981,Autumn
1991-92,4258,1416,Kharif
1991-92,3373,1530,Winter
1992-93,870,791,Autumn
1992-93,4231,1176,Kharif
1992-93,3361,1276,Winter
1993-94,883,900,Autumn
1993-94,4311,1415,Kharif
1993-94,3428,1548,Winter
1994-95,838,986,Autumn
1994-95,4187,1393,Kharif
1994-95,3349,1494,Winter
1995-96,854,951,Autumn
1995-96,4254,1328,Kharif
1995-96,3400,1422,Winter
1996-97,820,546,Autumn
1996-97,4198,912,Kharif
1996-97,3378,1000,Winter
1997-98,827,983,Autumn
1997-98,4261,1350,Kharif
1997-98,3434,1438,Winter
1998-99,820,611,Autumn
1998-99,4179,1169,Kharif
1998-99,3359,1305,Winter
1999-00,797,932,Autumn
1999-00,4220,1013,Kharif
1999-00,3423,1032,Winter
2000-01,855,543,Autumn
2000-01,4227,987,Kharif
2000-01,3372,1100,Winter
2001-02,853,999,Autumn
2001-02,4228,1554,Kharif
2001-02,3375,1694,Winter
2002-03,809,366,Autumn
2002-03,4096,690,Kharif
2002-03,3287,770,Winter
2003-04,861,982,Autumn
2003-04,4248,1459,Kharif
2003-04,3386,1581,Winter
2004-05,824,822,Autumn
2004-05,4199,1401,Kharif
2004-05,3375,1543,Winter
2005-06,781,886,Autumn
2005-06,4154,1504,Kharif
2005-06,3373,1648,Winter
2006-07,757,1026,Autumn
2006-07,4136,1498,Kharif
2006-07,3379,1604,Winter
2007-08,742,1114,Autumn
2007-08,4118,1658,Kharif
2007-08,3376,1777,Winter
2008-09,707,1056,Autumn
2008-09,4124,1477,Kharif
2008-09,3417,1565,Winter
2009-10,687,913,Autumn
2009-10,4100,1535,Kharif
2009-10,3413,1660,Winter
2010-11,678,844,Autumn
2010-11,3933,1539,Kharif
2010-11,3255,1683,Winter
2011-12,536,791,Autumn
2011-12,3769,1360,Kharif
2011-12,3233,1455,Winter
2012-13,561,1732,Autumn
2012-13,3749,2302,Kharif
2012-13,3188,2402,Winter
2013-14,582,1463,Autumn
2013-14,3880,1697,Kharif
2013-14,3298,1739,Winter
2014-15,583,1775,Autumn
2014-15,3865,2287,Kharif
2014-15,3282,2378,Winter
2015-16,542,719,Autumn
2015-16,3708,1373,Kharif
2015-16,3167,1485,Winter
2016-17,512,1285,Autumn
2016-17,3738,2408,Kharif
2016-17,3226,2586,Winter
2017-18,530,1088,Autumn
2017-18,3544,1652,Kharif
2017-18,3014,1751,Winter
2018-19,454,1161,Autumn
2018-19,3585,1899,Kharif
2018-19,3131,2006,Winter
2019-20,426,1806,Autumn
2019-20,3648,2418,Kharif
2019-20,3222,2499,Winter
