SL.,,DISTRICT,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC,TOTAL
1,,ANGUL,12.6,27.1,24.3,27.2,52.9,225.1,347.7,357.5,217.5,86.3,20.4,3.3,1401.9
2,,BALASORE,14.7,31.8,34.4,62.2,108.5,221.5,308.6,332.1,267.6,170.5,34.6,5.5,1592
3,,BARAGARH,12.5,19.1,22,20,25.6,205.6,397.2,374.4,222.6,52.8,10.4,5.1,1367.3
4,,BHADRAK,11.8,29.6,36.1,51.2,91.4,198.2,293.6,311.7,216.8,145.3,37.3,4.9,1427.9
5,,BOLANGIR,8.6,13.2,14.6,13.4,27.8,202.8,360.5,333.6,237.4,68.4,7.2,2.3,1289.8
6,,BOUDH,17,26.8,22.4,16.5,38.4,233.8,418.5,488.8,244.8,90.5,21.1,4.4,1623.1
7,,CUTTACK,9.9,28.6,24.7,28.3,71.5,210,308.3,339.1,229.2,125.6,45,4.1,1424.3
8,,DEOGARH,14.1,27,20.6,21.3,41.9,242.4,447.7,443.4,228.2,84.4,8,3.5,1582.5
9,,DHENKANAL,10.5,21.9,33.7,41.3,69.6,225.7,317.9,344.8,220.6,104.4,36.2,2.2,1428.8
10,,GAJAPATI,8.1,23,41.3,65.2,107.8,199.7,230.6,253.6,237.9,168.6,61.8,5.7,1403.3
11,,GANJAM,9.4,24.1,32.6,36.6,65.4,168.3,220.8,246.8,216.3,177.7,71.1,7.1,1276.2
12,,JAGATSINGHPUR,14.5,21.7,35.5,25.4,78,202.3,277.3,379.1,241.4,151.1,80.4,7.9,1514.6
13,,JAJPUR,12.9,25.1,28.4,46.1,93.7,238.5,350.9,341.2,238,140.2,41,3.9,1559.9
14,,JHARSUGUDA,14.1,22.9,17.6,15.1,27.9,218.8,385.8,382.9,210.7,54.9,7.7,4.4,1362.8
15,,KALAHANDI,10.3,14.4,23.7,25.7,41.8,240.4,327.7,355.4,204.6,74,10.9,1.6,1330.5
16,,KANDHAMAL,10.6,29.7,28,35.7,67.8,207.9,325.1,330.8,239.1,117.7,31,4.5,1427.9
17,,KENDRAPADA,10.6,30.2,35,33.9,94.2,208.3,317.1,333.3,237.3,183.7,67.2,5.2,1556
18,,KEONJHAR,14.6,33.8,33.1,42.1,94.8,241.4,318,343.6,241.1,101.3,20.5,3.4,1487.7
19,,KHORDHA,12.4,24.3,22.1,28,60.7,196.2,304.9,320.6,234.5,149.3,50.4,5,1408.4
20,,KORAPUT,5.7,8.6,18.3,55.2,81.9,206.8,375.6,393.6,256.3,126.1,32.6,6.5,1567.2
21,,MALKANGIRI,2.7,4.1,8.9,34.8,49.1,212.2,465.7,472.8,281.2,109.5,23.6,3,1667.6
22,,MAYURBHANJ,10.3,28,40.2,52.5,101.2,265.8,337.3,359.9,262,114.1,21.6,7.3,1600.6
23,,NABARANGPUR,6.7,14.1,15.1,34.1,66.1,251.8,356.6,407.5,225.6,168.6,18.7,4.6,1569.5
24,,NAYAGARH,11.7,28.6,30,39.9,58.8,203.5,288.5,288.2,226.8,134.5,39,4.8,1354.3
25,,NUAPADA,12,14.6,19.7,21.8,31.2,210.3,347.1,327.8,214.5,68.9,15.3,3.2,1286.4
26,,PURI,10.9,25.4,15.5,18.5,62.1,188,292,297.9,243.2,181.6,67.3,6.4,1408.8
27,,RAYAGADA,9.6,22.9,38,52.7,87.8,195.3,259.5,273.7,199.1,109.7,32.9,4.7,1285.9
28,,SAMBALPUR,14.8,24.5,18.2,16.5,32.3,221,429.5,442.4,224.7,54.7,12.7,4.4,1495.7
29,,SUBARNAPUR,12.5,17.2,15.7,15.4,29.3,217.4,399.6,408.9,228,59.8,11.4,3.3,1418.5
30,,SUNDARGARH,15.1,24.9,16,16,40.6,237.4,386.4,393.9,211.5,67.7,8.7,4.2,1422.4
ODISHA,,,11.4,22.9,25.5,33.1,63.3,216.5,339.9,356,231.9,114.7,31.5,4.5,1451.2
